dwnom,beta2,beta1,beta3,beta4,beta5,south,rep,year
-.53399998,-.02883774,.93804848,-.027051199,.078890085,0,0,1,1898
-.53399998,-.038485885,.9456476,-.036394086,.14198804,0,0,1,1900
-.53399998,-.060657442,.93104625,-.056474883,.19757444,0,0,1,1902
-.53399998,-.061177492,.92102897,-.056346241,.10036922,0,0,1,1904
-.53399998,-.092954755,.92019516,-.085536517,.14703965,0,0,1,1906
-.53399998,-.092954576,.95115888,-.088414572,.057954311,0,0,1,1908
.347,-.14741516,.98654145,-.14543116,.01754272,0,0,0,1910
.23199999,-.15009296,.99392003,-.1491804,.12252116,0,0,0,1912
-.41,-.091725111,.967641,-.088756979,.084300876,0,0,1,1914
-.41,-.090693474,.97971725,-.088853963,.09368062,0,0,1,1916
-.41,-.077345192,.91861403,-.071050376,.30786067,0,0,1,1918
-.41,-.083727956,.91157162,-.076324031,.12010813,0,0,1,1920
-.41,-.09122479,.89530301,-.081673831,.30896163,0,0,1,1922
-.41,-.091287106,.84200972,-.07686463,.2441901,0,0,1,1924
-.41,-.02054581,.90889281,-.01867394,.12508106,0,0,1,1926
-.41,-.020530611,.97984755,-.020116869,.0628708,0,0,1,1928
-.41,-.14493185,.99956828,-.14486928,.0024489164,0,0,1,1930
-.40400001,-.14399379,.99183393,-.14281793,.012207627,0,0,1,1932
-.40400001,-.13505769,.95702821,-.12925401,.047286749,0,0,1,1934
.35100001,-.13505769,.97343731,-.13147019,.033506393,0,0,0,1936
-.199,-.068404257,.99455667,-.068031907,.051699638,0,0,1,1938
.35100001,-.067988217,.99856061,-.067890354,.027578592,0,0,0,1940
-.34400001,-.042378902,.99279678,-.042073637,.024718285,0,0,1,1942
.43900001,-.042407334,.96637219,-.040981267,.10583711,0,0,0,1944
-.057,-.058339119,.9619025,-.056116544,.032944798,0,0,1,1946
.43900001,-.058334351,.9975968,-.05819416,.016441166,0,0,0,1948
-.057,-.030834913,.98068839,-.030239442,.10971016,0,0,1,1950
-.057,-.030834913,.97545719,-.030078137,.013780057,0,0,1,1952
-.057,-.065505892,.95022029,-.062245026,.18098277,0,0,1,1954
-.057,-.065267801,.99121141,-.064694189,.065781951,0,0,1,1956
.49599999,.0086171031,.94254982,.0081220493,.0024321675,0,0,0,1958
-.057,.0067716241,.96703136,.006548373,.016044974,0,0,1,1960
.42399999,,,,,0,0,0,1962
.027000001,.024419397,.98236328,.02398872,.31877452,0,0,1,1970
.027000001,.024693072,.96516967,.023833005,.20168459,0,0,1,1972
.34799999,-.018917352,.9604969,-.018170059,.31247735,0,0,0,1974
.34799999,-.018920869,.97201872,-.018391438,.39844477,0,0,0,1976
.34799999,-.01012671,.95343041,-.0096551133,.067488313,0,0,0,1978
.43200001,-.0083198547,.97442418,-.008107068,.12362278,0,0,0,1980
.43200001,-.027156085,.98894191,-.026855791,.092378139,0,0,0,1982
.43200001,-.027160048,.98697007,-.026806155,.34769094,0,0,0,1984
.43200001,.020028234,.96000195,.019227143,.27236331,0,0,0,1986
.43200001,.020028234,.98706341,.019769136,.19410026,0,0,0,1988
.43200001,.052752733,.9896242,.05220538,.0159657,0,0,0,1990
.43200001,.052809179,.99789453,.05269799,.00013256073,0,0,0,1992
.43200001,.070013106,.98585057,.069022462,.068874836,0,0,0,1994
.43200001,.070239425,.9568134,.067206025,.26492918,0,0,0,1996
.43200001,.081366181,.94461495,.076859713,.0057765245,0,0,0,1998
-.184,.067667007,.93129343,.063017838,.081802607,0,0,1,2000
-.184,.4995991,.91589659,.4575811,.084300935,0,0,1,2002
-.184,.4995991,.882662,.44097713,.00034236908,0,0,1,2004
.35499999,.053860903,.86993337,.046855398,.31101143,0,0,0,2006
.35499999,.053708017,.92252719,.049547106,.1911447,0,0,0,2008
.35499999,.058036804,.93595326,.054319736,.3651309,0,0,0,2010
.35499999,,,,,0,0,0,2012
-.34200001,.17456898,.97437656,.17009592,.055470884,0,0,1,1872
-.449,-.070188195,.97405648,-.068367265,.083965778,0,0,1,1874
-.449,-.075075537,.9986347,-.074973039,.09906584,0,0,1,1876
-.449,-.071417242,.98936796,-.070657931,.14012438,0,0,1,1878
-.449,-.066911191,.99669021,-.06668973,.091391027,0,0,1,1880
-.449,-.06778872,.98939049,-.067069516,.11651874,0,0,1,1882
-.449,-.0689224,.99445319,-.068540104,.035832763,0,0,1,1884
-.50599998,-.047902137,.99524975,-.047674589,.032992244,0,0,1,1886
-.50599998,-.05020991,.99036288,-.049726032,.049377799,0,0,1,1888
-.50599998,-.056527883,.982651,-.055547182,.028054297,0,0,1,1890
-.50599998,-.055181295,.97701669,-.053913046,.14416802,0,0,1,1892
-.50599998,-.14868838,.88895023,-.13217656,.33156013,0,0,1,1894
-.50599998,-.14891523,.89142948,-.13274743,.17905909,0,0,1,1896
-.50599998,,,,,0,0,1,1898
-.787,,,,,0,0,1,1902
-.46200001,-.11653775,.92191786,-.10743823,.23813474,0,0,1,1906
-.46200001,-.11653757,.9532336,-.11108753,.0039109588,0,0,1,1908
-.46200001,-.13726586,.98917651,-.13578017,.11204541,0,0,1,1910
.347,-.13994366,.9922446,-.13885833,.024281442,0,0,0,1912
-.60900003,-.064458132,.96645111,-.062295634,.014271498,0,0,1,1914
-.60900003,-.063426495,.97867459,-.062073898,.051038921,0,0,1,1916
-.60900003,-.055809081,.91921264,-.051300414,.34014136,0,0,1,1918
-.60900003,-.062191844,.9107374,-.056640439,.067328215,0,0,1,1920
-.60900003,-.072379261,.89718539,-.064937614,.38272548,0,0,1,1922
-.60900003,-.072441578,.84344018,-.061100136,.32773137,0,0,1,1924
-.60900003,.052444786,.90778661,.047608674,.054013252,0,0,1,1926
-.60900003,.052459985,.98005164,.051413495,.059113503,0,0,1,1928
-.60900003,-.11464477,.99988729,-.11463185,.023220062,0,0,1,1930
.15000001,-.11370671,.99229598,-.11283071,.028162479,0,0,0,1932
.375,-.06235981,.95934665,-.059824675,.14904344,0,0,0,1934
.375,-.06235981,.97397208,-.060736712,.0035190582,0,0,0,1936
.375,-.049442053,.99484563,-.049187209,.073543191,0,0,0,1938
.375,-.049025953,.9985112,-.048952963,.03398335,0,0,0,1940
-.292,-.038226068,.99271405,-.037947554,.029452324,0,0,1,1942
.45100001,-.038254499,.96720248,-.036999848,.17721009,0,0,0,1944
-.102,-.061124265,.96223432,-.058815867,.0067894459,0,0,1,1946
.37900001,-.061119497,.99828136,-.061014455,.041276693,0,0,0,1948
.37900001,-.019401163,.97983259,-.019009892,.055173814,0,0,0,1950
-.126,-.019401163,.97615123,-.018938469,.053275347,0,0,1,1952
-.126,-.074096948,.95051926,-.070430577,.19999242,0,0,1,1954
-.126,-.073858857,.99067461,-.073170096,.12445116,0,0,1,1956
.31600001,.070205212,.94476509,.06632743,.098210931,0,0,0,1958
.31600001,.068359733,.96821189,.066186704,.12042713,0,0,0,1960
.31600001,.073183119,.91886711,.067245558,.27793229,0,0,0,1962
.31600001,.071806133,.90606457,.065060996,.12269092,0,0,0,1964
.31600001,.03662467,.96041417,.03517485,.11967361,0,0,0,1966
.31600001,.037030756,.99491823,.036842573,.12621582,0,0,0,1968
.31600001,.026970714,.97681224,.026345324,.065503478,0,0,0,1970
.31600001,.027244389,.96617436,.02632283,.34891701,0,0,0,1972
.31600001,-.045500785,.95838898,-.043607451,.11408508,0,0,0,1974
.31600001,-.045504302,.97018629,-.044147652,.1845156,0,0,0,1976
.31600001,-.02384907,.95204562,-.022705402,.059390664,0,0,0,1978
.013,-.021235406,.97361082,-.020675022,.009393692,0,0,1,1980
.40900001,-.01616472,.98930937,-.015991909,.054211617,0,0,0,1982
.40900001,-.016168684,.98732114,-.015963683,.39291334,0,0,0,1984
.40900001,.01423502,.960585,.013673946,.32985663,0,0,0,1986
.40900001,.01423502,.98859334,.014072645,.042086601,0,0,0,1988
.42399999,.021083534,.98592424,.020786768,.31357467,0,0,0,1990
.42399999,.021139979,.99600911,.021055613,.35377896,0,0,0,1992
.42399999,.090390384,.99150592,.089622602,.43526244,0,0,0,1994
.42399999,.090616703,.95763737,.08677794,.44551301,0,0,0,1996
.42399999,.12512141,.94981444,.11884212,.44652843,0,0,0,1998
.42399999,.12594676,.93392551,.11762489,.37886953,0,0,0,2000
.42399999,.4995991,.92405546,.46165729,.48732018,0,0,0,2002
.42399999,.4995991,.88635063,.44281998,.54434299,0,0,0,2004
.42399999,.083860934,.87392098,.07328783,.55508387,0,0,0,2006
.42399999,.083708048,.92298603,.077261358,.28965592,0,0,0,2008
.42399999,.098036766,.93820858,.091978937,.45567369,0,0,0,2010
.42399999,,,,,0,0,0,2012
.185,,,,,0,0,0,1872
.23199999,.0027986765,.9996649,.0027977386,.043603659,0,0,0,1876
-.48899999,-.0063267946,.98642838,-.0062409299,.014915347,0,0,1,1878
-.48899999,-.0018207431,.99997365,-.0018206951,.048054457,0,0,1,1880
.248,.000096082687,.99195254,.000095309464,.0041464567,0,0,0,1882
.248,-.0010375977,.99534649,-.0010327692,.0099847317,0,0,0,1884
.50099999,-.022149146,.99586034,-.022057455,.00061935186,0,0,0,1886
-.48899999,-.024456918,.99184799,-.024257544,.026121616,0,0,1,1888
.30199999,-.024371922,.98445344,-.023993023,.048190117,0,0,0,1890
.30199999,-.023025334,.97671956,-.022489294,.12809187,0,0,0,1892
-.509,-.14113614,.88887239,-.12545201,.32200688,0,0,1,1894
-.509,-.14136299,.89124888,-.12598962,.14358073,0,0,1,1896
-.509,-.092308104,.94268668,-.087017618,.18082196,0,0,1,1898
-.509,-.10195625,.9443568,-.096283078,.10051787,0,0,1,1900
-.509,-.079306453,.93126845,-.073855601,.2103762,0,0,1,1902
-.509,-.079826504,.92295283,-.073676094,.1653356,0,0,1,1904
-.509,-.13190725,.92330533,-.12179067,.25676346,0,0,1,1906
-.509,-.13190708,.95478308,-.12594265,.064445198,0,0,1,1908
-.509,-.13181764,.98738551,-.13015483,.047913074,0,0,1,1910
.043000001,-.13449544,.99353123,-.13362542,.098287225,0,0,0,1912
-.509,-.12077594,.96836007,-.11695459,.11191195,0,0,1,1914
-.62099999,-.1197443,.98030579,-.11738603,.10530907,0,0,1,1916
-.62099999,-.11180514,.92002857,-.10286392,.37126887,0,0,1,1918
-.62099999,-.1181879,.91128939,-.10770338,.097749949,0,0,1,1920
-.62099999,-.1714343,.89937425,-.1541836,.44920433,0,0,1,1922
-.62099999,-.17149661,.84464765,-.14485422,.38773793,0,0,1,1924
-.62099999,-.015322566,.90930092,-.013932823,.13051164,0,0,1,1926
-.62099999,-.015307367,.97785985,-.014968459,.015603423,0,0,1,1928
.303,-.16699114,.99869788,-.16677371,.054451287,0,0,0,1930
-.62099999,-.16605309,.99086016,-.16453539,.083419144,0,0,1,1932
-.62099999,-.1045059,.95743167,-.10005726,.088177681,0,0,1,1934
.23,-.1045059,.97173697,-.10155224,.15630466,0,0,0,1936
-.27200001,-.092619359,.9938032,-.092045419,.0038801432,0,0,1,1938
.419,-.092203319,.9980709,-.092025451,.05687511,0,0,0,1940
-.064999998,-.080695689,.9933188,-.080156542,.0099367499,0,0,1,1942
-.064999998,-.08072412,.96815312,-.078153312,.2350983,0,0,1,1944
-.061999999,-.12936401,.9649905,-.12483504,.11937058,0,0,1,1946
-.061999999,-.12935925,.99592328,-.12883188,.11592507,0,0,1,1948
-.055,-.081936359,.98317039,-.080557406,.20841616,0,0,1,1950
-.055,-.081936359,.97837096,-.080164157,.15206861,0,0,1,1952
-.055,-.14576307,.95466185,-.13915443,.3742522,0,0,1,1954
-.055,-.14552498,.9924953,-.14443286,.018110991,0,0,1,1956
.32499999,-.043357074,.94020379,-.040764485,.033613324,0,0,0,1958
-.089000002,-.045202553,.96586227,-.043659441,.040136158,0,0,1,1960
-.089000002,-.0053675175,.9126575,-.0048987051,.036212683,0,0,1,1962
.32499999,-.0067445636,.90360963,-.0060944525,.019154072,0,0,0,1964
.32499999,-.061260492,.95862341,-.058725741,.041314244,0,0,0,1966
-.056000002,-.060854435,.99303102,-.06043034,.14080781,0,0,1,1968
.018999999,-.023719519,.98155254,-.023281954,.26169229,0,0,1,1970
.018999999,-.023445845,.96340513,-.022587847,.081350148,0,0,1,1972
.018999999,-.1025376,.95472538,-.09789525,.24425226,0,0,1,1974
.018999999,-.10254112,.96756703,-.099215403,.16727352,0,0,1,1976
.018999999,-.077555656,.95028961,-.073700331,.25154197,0,0,1,1978
.018999999,-.075184226,.97265887,-.073128603,.13685745,0,0,1,1980
.018999999,-.072860211,.99626631,-.072588176,.40787899,0,0,1,1982
.018999999,,,,,0,0,1,1984
-.153,-.062131047,.99326521,-.061712608,.53124595,0,0,1,1988
-.153,-.038800925,.99422503,-.038576849,.43175673,0,0,1,1990
-.153,-.038744479,.99969,-.038732469,.51575506,0,0,1,1992
-.153,.0066593885,.98150605,.00653623,.23273575,0,0,1,1994
-.153,.0068857074,.95390403,.0065683043,.39614749,0,0,1,1996
-.153,.056707501,.94280183,.053463936,.17032611,0,0,1,1998
-.153,.042373478,.93052137,.039429426,.28861392,0,0,1,2000
-.153,.4995991,.91663289,.45794895,.048688889,0,0,1,2002
-.153,.4995991,.88280219,.44104719,.02772671,0,0,1,2004
-.153,.045860946,.86400068,.03962389,.0084098577,0,0,1,2006
.24600001,.04570806,.92159784,.04212445,.040963292,0,0,0,2008
.24600001,.062036812,.93081212,.057744619,.17490506,0,0,0,2010
.24600001,,,,,0,0,0,2012
.33700001,-.17379254,.99291104,-.17256053,.060758591,0,0,0,1912
-.396,-.081573546,.96680105,-.078865387,.030225337,0,0,1,1914
-.396,-.080541909,.97816283,-.078783102,.031232059,0,0,1,1916
-.396,-.071124494,.91707271,-.065226331,.20272362,0,0,1,1918
-.396,-.077507257,.90964568,-.070504144,.005401969,0,0,1,1920
.189,-.089213699,.89222252,-.079598472,.16592139,0,0,0,1922
-.396,-.089276016,.8410027,-.075081371,.16996676,0,0,1,1924
-.396,.0012289882,.90784818,.0011157347,.04810971,0,0,1,1926
-.19599999,.0012441874,.97864604,.0012176191,.010897636,0,0,1,1928
-.19599999,-.15289801,.99958801,-.15283503,.0009264946,0,0,1,1930
-.19599999,-.15195996,.99251384,-.15082236,.049876094,0,0,1,1932
.23,-.10669804,.9597556,-.10240404,.17520785,0,0,0,1934
.23,-.10669804,.97380656,-.10390325,.0021641254,0,0,0,1936
.23,,,,,0,0,0,1938
-.236,-.069198489,.99344128,-.068744637,.045660853,0,0,1,1942
-.236,-.069226921,.96667731,-.066920094,.13109475,0,0,1,1944
-.085000001,-.094100088,.96281004,-.090600513,.037191153,0,0,1,1946
-.085000001,-.09409532,.99708325,-.09382087,.07469815,0,0,1,1948
-.085000001,-.051541835,.98094964,-.050559945,.13409257,0,0,1,1950
-.085000001,-.051541835,.97595704,-.050302617,.055007577,0,0,1,1952
-.085000001,-.098877877,.95090437,-.094023407,.23851013,0,0,1,1954
-.085000001,-.098639786,.99103487,-.097755469,.075957537,0,0,1,1956
.22400001,.026662409,.94463766,.025186315,.10198784,0,0,0,1958
.22400001,.02481693,.9684692,.024034433,.17029631,0,0,0,1960
.22400001,.034902811,.92038405,.03212399,.34604466,0,0,0,1962
.22400001,.033533454,.90739888,.030428218,.18125629,0,0,0,1964
.22400001,-.012488008,.96053219,-.011995133,.12630153,0,0,0,1966
.22400001,-.012081921,.99488223,-.012020089,.10568488,0,0,0,1968
.22400001,-.0023100376,.97814631,-.0022595548,.02366358,0,0,0,1970
-.115,-.0020363629,.963476,-.0019619868,.024762034,0,0,1,1972
-.115,-.078532249,.95326769,-.074862257,.34014177,0,0,1,1974
-.115,-.078535765,.96892047,-.076094911,.046381831,0,0,1,1976
.373,-.055273354,.95274991,-.052661683,.0073069334,0,0,0,1978
.373,-.052653253,.97481012,-.051326923,.17746413,0,0,0,1980
.373,,,,,0,0,0,1982
-.171,-.0300529,.98945051,-.029735858,.045121431,0,0,1,1988
-.28299999,,,,,0,0,1,1990
.24600001,,,,,0,0,0,1996
.24600001,.037350476,.93119776,.034780681,.11266047,0,0,0,2000
-.121,.4995991,.91445434,.45686057,.22063357,0,0,1,2002
-.121,.4995991,.88362479,.44145814,.10547614,0,0,1,2004
.317,.015860915,.86695832,.013750752,.15501702,0,0,0,2006
.317,.015708029,.92178112,.014479365,.073251486,0,0,0,2008
.317,.033036768,.92719913,.030631663,.032653332,0,0,0,2010
.317,,,,,0,0,0,2012
.35600001,.084533215,.90309757,.076341741,.012622714,0,0,0,1964
